Order1,Order2,Count
5,20,1
7,24,1
26,20,2
16,11,2
27,16,2
11,16,2
2,20,2
16,20,2
5,3,2
20,11,2
24,24,3
26,24,3
20,20,3
1,5,3
20,7,3
5,24,3
7,26,3
3,16,3
24,20,3
11,7,3
5,1,3
20,16,3
24,30,3
11,5,3
7,16,3
7,20,3
24,11,4
20,24,4
3,24,4
2,16,4
7,11,4
5,2,4
20,3,4
20,5,4
16,3,4
16,1,5
24,27,5
27,20,5
24,26,5
7,12,5
12,5,5
11,24,6
11,11,6
11,20,6
20,27,6
11,30,6
20,29,6
30,16,6
24,5,6
26,3,6
16,24,6
2,11,6
5,26,6
16,7,6
27,7,6
20,1,6
5,7,6
1,24,6
26,16,7
24,16,7
16,2,7
16,16,7
21,20,7
25,2,7
17,7,7
24,21,7
11,27,7
11,25,7
2,26,7
5,11,7
24,7,7
3,20,7
30,7,7
1,16,7
16,21,8
20,17,8
12,16,8
17,11,8
25,24,8
20,30,8
29,11,8
12,20,8
24,2,8
16,17,8
11,3,8
26,5,8
20,2,8
3,17,8
20,12,8
27,5,8
2,17,8
27,3,8
1,20,8
7,27,8
2,5,8
25,20,8
20,25,8
25,16,9
11,26,9
26,11,9
20,21,9
16,27,9
30,26,9
17,24,9
24,6,9
24,3,9
11,2,9
9,5,9
16,30,9
5,27,9
25,7,9
26,30,9
24,1,9
3,5,9
11,4,9
12,24,10
25,26,10
29,24,10
24,29,10
28,24,10
26,25,10
17,16,10
16,26,10
21,24,10
15,16,10
16,29,10
11,8,10
30,12,10
11,1,10
15,24,10
3,25,10
5,16,10
11,15,10
7,25,10
3,11,10
6,24,10
3,27,10
11,21,11
27,11,11
20,26,11
26,26,11
26,21,11
30,24,11
20,4,11
17,20,11
22,24,11
17,5,11
6,20,11
17,3,11
6,11,11
5,17,11
7,17,11
7,23,11
11,6,11
3,12,11
30,2,11
3,26,11
21,16,12
26,12,12
9,24,12
22,20,12
25,11,12
19,7,12
24,25,12
24,4,12
12,3,12
15,20,12
7,19,12
7,5,12
4,24,12
4,11,12
4,20,12
20,6,12
26,2,12
17,2,12
28,20,12
25,5,12
3,28,12
26,29,13
11,28,13
24,28,13
26,27,13
27,25,13
20,9,13
19,5,13
28,16,13
16,5,13
28,7,13
21,7,13
2,24,13
20,8,13
7,30,13
26,4,13
5,12,13
25,3,13
16,6,13
21,26,13
7,28,13
14,3,13
7,7,13
3,15,13
8,7,13
11,17,14
16,12,14
27,24,14
26,17,14
30,11,14
17,26,14
21,11,14
20,23,14
16,28,14
20,13,14
16,25,14
29,16,14
20,28,14
12,7,14
7,8,14
8,11,14
7,21,14
3,19,14
21,2,14
2,27,14
7,14,14
1,27,14
3,22,14
20,10,15
11,12,15
24,12,15
11,29,15
9,11,15
23,5,15
24,17,15
8,3,15
22,7,15
5,14,15
1,26,15
5,9,15
20,15,15
24,23,16
11,9,16
28,2,16
8,16,16
15,11,16
21,5,16
29,20,16
12,2,16
24,8,16
8,26,16
28,5,16
27,2,16
1,11,16
16,15,16
3,21,16
27,1,16
2,25,16
2,30,16
30,3,16
8,20,16
7,15,16
27,26,17
20,19,17
24,13,17
20,22,17
19,20,17
22,11,17
9,20,17
30,30,17
22,2,17
28,3,17
14,2,17
14,7,17
14,5,17
29,5,17
6,16,17
5,13,17
2,15,17
5,19,17
3,13,17
3,4,17
30,5,17
5,25,17
24,14,18
9,16,18
11,22,18
12,25,18
18,20,18
12,11,18
30,28,18
11,23,18
24,15,18
27,30,18
23,7,18
15,3,18
13,5,18
5,28,18
7,13,18
5,21,18
7,22,18
3,8,18
3,9,18
4,16,18
3,30,18
9,7,18
19,24,19
23,20,19
21,30,19
11,18,19
30,27,19
30,17,19
16,9,19
22,16,19
16,4,19
19,3,19
25,1,19
23,3,19
7,3,19
1,12,19
7,18,19
24,9,20
25,17,20
19,11,20
24,22,20
16,18,20
25,21,20
12,30,20
26,15,20
13,20,20
20,18,20
17,1,20
5,30,20
3,14,20
13,7,20
2,7,20
2,21,20
2,19,20
2,22,20
8,2,20
11,19,21
14,11,21
27,27,21
14,24,21
14,20,21
12,26,21
8,17,21
16,8,21
15,30,21
15,7,21
1,25,21
5,23,21
2,13,21
15,2,21
21,3,21
2,8,21
18,7,21
7,2,21
7,9,21
22,3,21
28,11,22
23,11,22
17,25,22
13,24,22
25,29,22
21,1,22
25,30,22
17,30,22
9,2,22
3,18,22
1,17,22
1,30,22
4,3,22
5,22,22
7,1,22
25,27,23
16,22,23
26,9,23
10,7,23
9,3,23
26,1,23
8,30,23
4,26,23
1,4,23
3,7,23
27,17,24
21,27,24
27,21,24
26,6,24
8,24,24
4,2,24
5,8,24
2,4,24
4,1,24
23,24,25
16,14,25
26,23,25
11,13,25
16,23,25
12,17,25
30,25,25
19,2,25
30,21,25
18,3,25
5,29,25
3,2,25
18,24,26
16,13,26
11,14,26
18,11,26
12,15,26
25,25,26
21,17,26
29,27,26
30,8,26
5,15,26
17,27,27
30,14,27
14,26,27
13,16,27
14,16,27
29,17,27
29,26,27
30,1,27
12,1,27
23,2,27
2,14,27
2,23,27
7,10,27
30,15,27
26,14,28
17,8,28
15,27,28
24,10,28
30,9,28
17,29,28
15,12,28
29,25,28
15,17,28
13,2,28
8,1,28
9,30,28
4,27,28
10,20,29
12,21,29
9,26,29
23,16,29
13,11,29
18,26,29
22,5,29
12,27,29
27,29,29
15,21,29
13,3,29
3,23,29
2,28,29
2,18,29
1,21,29
22,26,30
12,12,30
25,12,30
23,26,30
20,14,30
25,8,30
24,18,30
21,25,30
18,16,30
26,22,30
17,17,30
12,4,30
26,8,30
29,7,30
18,5,30
7,29,30
1,14,30
2,32,30
15,26,31
14,30,31
28,30,31
13,26,31
29,21,31
10,5,31
27,6,31
8,5,31
30,29,31
6,25,31
12,29,32
31,20,32
27,14,32
29,30,32
25,6,32
12,6,32
8,27,32
15,5,32
5,18,32
6,12,32
1,8,32
2,12,32
6,26,32
6,21,32
26,18,33
27,12,33
18,27,33
7,32,33
6,27,33
26,19,34
19,26,34
16,19,34
32,2,34
22,27,34
17,9,34
17,21,34
18,2,34
15,25,34
6,17,34
2,29,34
18,17,35
24,19,35
28,26,35
27,28,35
30,23,35
32,3,35
19,1,35
23,1,35
27,4,35
6,28,35
26,28,36
21,28,36
28,17,36
17,12,36
18,30,36
25,15,36
14,12,36
15,1,36
3,10,36
29,12,37
19,30,37
11,31,37
21,21,37
25,9,37
28,1,37
1,28,37
2,3,37
27,8,38
21,12,38
21,29,39
27,9,39
25,28,39
28,29,39
17,22,39
29,28,39
13,25,39
13,30,39
9,27,39
8,12,39
30,22,39
28,25,39
17,6,39
1,19,39
1,15,39
1,7,39
24,31,40
17,15,40
27,18,40
17,28,40
21,8,40
14,6,40
15,29,40
29,2,40
2,10,40
14,1,40
5,10,40
10,24,41
25,13,41
19,16,41
28,21,41
26,10,41
14,4,41
29,15,41
10,2,41
6,7,41
16,10,42
27,22,42
8,21,42
9,21,42
10,16,42
22,12,42
27,15,42
21,15,42
8,6,42
1,22,42
3,3,42
12,8,43
18,25,43
9,29,43
9,25,43
20,31,43
14,27,43
21,9,43
28,8,43
28,6,43
10,3,43
3,32,43
5,31,43
6,5,43
12,28,44
11,10,44
22,30,44
8,25,44
22,17,44
17,4,44
29,3,44
4,12,44
4,19,44
31,16,45
26,13,45
10,11,45
13,27,45
13,1,45
32,7,45
22,1,45
1,23,45
6,22,45
4,7,45
2,9,45
18,12,46
30,18,46
8,29,46
25,4,46
7,31,46
4,21,46
17,18,47
30,19,47
31,24,47
16,31,47
9,17,47
29,22,47
29,9,47
21,6,47
19,6,47
6,13,47
6,19,47
4,17,47
1,13,47
6,30,47
23,30,48
19,27,48
25,18,48
12,22,48
31,7,48
29,8,48
18,1,48
30,6,48
30,13,48
4,30,48
1,18,48
1,9,48
14,21,49
28,4,49
7,4,49
4,28,49
12,18,50
9,12,50
31,11,50
4,9,50
13,21,51
25,22,51
15,8,51
6,14,51
29,19,52
8,15,52
28,12,52
28,15,52
28,27,52
9,28,52
10,26,52
19,4,52
31,5,52
21,4,52
23,17,53
25,23,53
12,9,53
23,27,53
30,4,53
4,25,53
25,14,54
14,25,54
10,27,54
18,21,54
7,6,54
5,5,54
22,25,55
21,13,55
19,15,55
22,8,55
14,29,55
29,14,55
9,1,55
9,4,55
6,9,55
3,29,55
32,20,56
19,12,56
20,32,56
17,13,56
29,23,56
15,22,57
8,14,57
14,8,57
15,28,57
6,3,57
6,23,57
27,23,58
13,17,58
27,19,58
13,6,58
2,2,58
9,23,59
17,14,59
23,8,59
10,30,59
13,29,59
8,4,59
5,6,59
3,6,59
19,29,60
23,12,60
26,31,60
28,14,60
29,13,60
8,22,60
15,6,60
3,31,60
4,13,60
13,12,61
22,28,61
28,28,61
12,19,61
21,22,61
4,14,61
2,6,61
6,8,61
19,25,62
22,21,62
23,29,62
27,13,62
14,17,62
8,28,62
9,15,62
22,29,62
32,5,62
21,14,63
12,13,63
23,25,64
12,14,64
8,8,64
31,26,64
5,32,64
21,19,65
25,19,65
28,22,65
8,19,65
9,8,65
18,29,65
15,9,65
15,4,65
6,15,65
13,28,66
9,6,66
6,18,66
2,31,66
12,23,67
17,19,67
23,6,67
13,4,67
17,23,68
18,28,68
22,4,68
22,6,68
23,4,69
18,6,69
14,9,70
22,9,70
15,15,70
29,29,70
30,10,71
14,15,71
18,9,71
21,23,71
8,9,71
4,8,71
19,17,72
23,21,72
15,23,72
28,9,72
22,15,72
8,18,72
10,25,73
28,18,73
29,18,73
23,15,74
13,8,74
9,9,74
15,14,74
21,18,75
31,30,75
4,22,75
22,13,76
15,18,77
28,13,77
18,15,77
1,29,77
4,23,77
1,3,77
19,21,78
9,22,79
18,8,79
22,14,79
10,17,79
28,23,79
13,15,79
32,1,79
4,18,79
23,28,80
9,14,80
22,22,81
6,2,81
32,24,82
25,10,82
29,6,82
10,1,82
31,3,82
6,29,82
19,8,83
8,23,83
17,10,83
8,13,83
31,2,83
1,10,83
2,1,83
1,32,84
4,29,84
13,9,85
32,16,86
14,28,86
18,23,86
27,10,87
19,28,87
3,1,87
24,32,88
28,19,88
1,2,89
30,31,90
29,1,90
10,12,91
32,11,92
23,14,92
18,4,94
32,26,95
15,19,95
22,18,95
4,15,95
19,9,96
23,9,96
14,22,96
5,4,96
9,19,97
21,10,97
10,21,97
13,18,97
18,13,97
29,4,97
16,32,98
31,27,98
9,18,98
14,18,98
31,25,99
18,14,99
22,19,100
29,10,100
6,10,100
15,13,101
27,31,101
23,22,103
10,6,103
12,10,105
22,23,105
18,22,105
18,18,106
23,18,107
10,28,109
22,10,109
13,22,109
1,31,109
18,19,110
10,4,110
11,32,111
12,31,111
28,10,111
10,29,111
4,5,111
9,13,112
21,31,112
17,31,114
19,13,115
19,22,116
10,15,117
13,23,118
6,1,118
19,14,119
14,23,119
15,10,119
19,18,120
14,13,120
13,19,121
31,12,121
32,30,122
31,1,122
13,14,124
13,13,124
31,17,125
14,14,125
26,32,127
1,1,127
31,15,129
4,10,130
4,6,130
1,6,131
23,13,134
6,32,134
25,31,135
32,6,136
31,8,136
32,27,137
14,19,137
31,29,137
6,4,137
9,10,140
8,31,140
30,32,145
10,22,146
19,23,147
27,32,147
8,10,150
18,10,152
31,21,154
6,6,154
29,31,156
14,10,156
10,8,156
10,9,157
32,21,158
32,25,161
23,19,161
6,31,161
23,23,162
31,28,163
4,31,163
29,32,164
32,17,166
10,14,167
32,29,168
21,32,168
31,6,170
28,31,171
4,32,171
31,4,172
19,19,174
10,18,174
32,4,174
9,31,175
32,8,176
23,10,176
15,31,177
32,15,178
10,19,180
32,12,181
13,10,182
31,9,183
10,23,186
10,13,187
22,31,189
31,22,193
15,32,195
17,32,196
19,10,205
8,32,207
18,31,209
31,14,221
31,18,222
32,18,227
25,32,230
14,31,230
32,28,231
32,9,238
13,31,238
28,32,243
32,22,245
31,13,249
31,23,249
23,31,252
12,32,282
31,19,282
19,31,282
22,32,293
18,32,302
9,32,304
32,13,321
10,10,337
32,14,342
4,4,344
13,32,364
10,31,381
31,10,381
14,32,382
32,23,406
32,19,437
19,32,531
32,10,551
31,31,562
23,32,563
32,31,614
10,32,673
31,32,752
32,32,19252
