R1,G1,B1,R2,G2,B2,Count
247,152,156,147,136,110,34
194,106,132,239,222,222,34
156,140,123,147,136,110,35
182,171,176,156,156,132,35
222,222,206,203,189,203,35
206,199,177,222,222,206,35
239,225,192,173,160,127,35
255,255,255,211,124,143,35
156,156,132,173,82,119,35
173,160,127,173,82,119,35
206,199,177,233,107,108,35
247,152,156,222,222,206,35
203,189,203,222,222,206,36
165,140,132,222,222,206,36
222,222,206,147,136,110,36
147,136,110,112,100,87,36
156,140,123,239,225,192,36
187,179,149,131,115,94,36
129,120,101,112,100,87,36
131,115,94,173,82,119,36
211,124,143,99,90,74,36
239,222,222,112,100,87,37
156,156,132,239,225,192,37
104,92,102,239,239,222,37
165,140,132,165,140,132,37
187,179,149,87,82,84,37
222,222,206,173,82,119,37
173,82,119,222,222,206,37
194,106,132,211,124,143,37
206,199,177,82,79,63,38
165,140,132,112,100,87,38
165,140,132,239,222,222,39
206,199,177,87,82,84,39
187,179,149,222,222,206,39
222,222,206,239,222,222,39
147,136,110,165,148,123,39
239,222,222,222,222,206,39
120,109,104,187,179,149,39
120,109,104,239,225,192,39
87,82,84,206,199,177,39
82,79,63,112,100,87,39
239,225,192,165,148,123,39
222,222,206,187,179,149,39
147,136,110,247,152,156,39
173,82,119,156,156,132,39
173,82,119,131,115,94,39
173,82,119,239,177,189,39
182,171,176,239,239,222,40
147,136,110,131,115,94,40
206,199,177,156,140,123,40
147,136,110,222,222,206,40
165,140,132,82,79,63,40
129,120,101,247,152,156,40
131,115,94,239,222,222,40
239,222,222,194,106,132,40
194,106,132,99,90,74,40
129,120,101,173,82,119,40
245,125,127,99,90,74,40
99,90,74,182,171,176,41
187,179,149,120,109,104,41
156,156,132,138,123,133,41
222,222,206,165,140,132,41
203,189,203,99,90,74,41
129,120,101,233,107,108,41
239,222,222,131,115,94,41
99,90,74,194,106,132,41
247,152,156,239,177,189,41
138,123,133,99,90,74,42
206,199,177,165,148,123,42
82,79,63,165,140,132,42
87,82,84,165,140,132,42
99,90,74,138,123,133,42
165,148,123,112,100,87,42
206,199,177,131,115,94,42
165,140,132,131,115,94,42
82,79,63,247,152,156,42
173,82,119,165,148,123,42
211,124,143,211,124,143,42
112,100,87,82,79,63,43
156,140,123,187,179,149,43
87,82,84,239,222,222,43
87,82,84,187,179,149,43
163,152,177,239,239,222,43
129,120,101,206,199,177,43
165,140,132,87,82,84,43
222,222,206,82,79,63,43
222,222,206,247,152,156,43
99,90,74,211,124,143,43
211,124,143,255,255,255,43
245,125,127,239,239,222,43
247,152,156,245,125,127,43
112,100,87,222,222,206,44
104,92,102,99,90,74,44
165,148,123,239,225,192,44
82,79,63,187,179,149,44
165,148,123,147,136,110,44
147,136,110,233,107,108,44
239,222,222,211,124,143,44
233,107,108,112,100,87,44
233,107,108,156,156,132,44
239,239,222,138,123,133,45
203,189,203,120,109,104,45
99,90,74,104,92,102,45
120,109,104,206,199,177,45
120,109,104,173,82,119,45
255,255,255,239,177,189,45
165,148,123,173,82,119,45
173,82,119,173,160,127,45
247,152,156,165,148,123,45
233,107,108,239,177,189,45
194,106,132,87,82,84,45
156,140,123,112,100,87,46
239,225,192,156,140,123,46
82,79,63,239,222,222,46
187,179,149,233,107,108,46
239,177,189,239,239,222,46
233,107,108,165,140,132,46
147,136,110,156,140,123,47
239,225,192,156,156,132,47
239,239,222,182,171,176,47
138,123,133,239,239,222,47
87,82,84,147,136,110,47
239,222,222,165,148,123,47
239,222,222,87,82,84,47
165,140,132,247,152,156,47
156,156,132,247,152,156,47
247,152,156,120,109,104,47
247,152,156,156,156,132,47
233,107,108,147,136,110,47
173,82,119,120,109,104,47
247,152,156,239,225,192,47
173,160,127,239,225,192,48
156,156,132,206,199,177,48
187,179,149,156,140,123,48
112,100,87,165,148,123,48
239,239,222,239,177,189,48
239,222,222,82,79,63,48
156,140,123,173,82,119,48
239,225,192,247,152,156,48
239,225,192,120,109,104,48
233,107,108,239,225,192,48
173,82,119,156,140,123,48
173,82,119,87,82,84,48
129,120,101,165,140,132,49
222,222,206,233,107,108,49
239,177,189,233,107,108,49
233,107,108,222,222,206,49
112,100,87,156,140,123,50
87,82,84,112,100,87,50
239,239,222,104,92,102,50
233,107,108,87,82,84,50
120,109,104,165,140,132,51
187,179,149,165,148,123,51
131,115,94,82,79,63,51
247,152,156,129,120,101,51
239,222,222,156,156,132,52
82,79,63,131,115,94,52
222,222,206,112,100,87,52
222,222,206,131,115,94,52
222,222,206,206,199,177,52
87,82,84,222,222,206,52
99,90,74,203,189,203,52
156,156,132,233,107,108,52
239,239,222,245,125,127,52
165,140,132,233,107,108,52
173,160,127,147,136,110,53
187,179,149,173,160,127,53
112,100,87,87,82,84,53
173,160,127,206,199,177,53
239,225,192,233,107,108,53
233,107,108,187,179,149,53
187,179,149,129,120,101,54
129,120,101,187,179,149,54
99,90,74,206,199,177,54
156,140,123,165,140,132,54
239,177,189,247,152,156,54
245,125,127,245,125,127,54
165,148,123,187,179,149,55
165,140,132,120,109,104,55
156,156,132,131,115,94,55
165,148,123,82,79,63,55
129,120,101,239,222,222,55
239,222,222,129,120,101,55
87,82,84,173,82,119,55
87,82,84,233,107,108,55
247,152,156,87,82,84,55
211,124,143,239,222,222,55
255,255,255,163,152,177,56
156,156,132,112,100,87,56
163,152,177,255,255,255,56
147,136,110,120,109,104,56
239,222,222,173,160,127,56
131,115,94,165,148,123,57
82,79,63,129,120,101,57
129,120,101,82,79,63,57
131,115,94,222,222,206,57
247,152,156,211,124,143,57
247,152,156,173,160,127,57
206,199,177,173,160,127,58
120,109,104,147,136,110,58
206,199,177,156,156,132,58
120,109,104,247,152,156,58
194,106,132,194,106,132,58
87,82,84,173,160,127,59
147,136,110,129,120,101,59
173,160,127,82,79,63,59
99,90,74,239,225,192,59
120,109,104,239,222,222,59
82,79,63,233,107,108,59
245,125,127,247,152,156,59
211,124,143,247,152,156,59
156,156,132,239,222,222,60
173,160,127,112,100,87,60
203,189,203,239,239,222,60
222,222,206,129,120,101,60
239,222,222,120,109,104,60
82,79,63,165,148,123,60
131,115,94,247,152,156,60
211,124,143,239,239,222,60
233,107,108,120,109,104,60
120,109,104,112,100,87,61
165,148,123,222,222,206,61
222,222,206,222,222,206,61
112,100,87,156,156,132,61
165,140,132,165,148,123,61
233,107,108,129,120,101,61
194,106,132,247,152,156,61
247,152,156,82,79,63,61
156,156,132,187,179,149,62
165,148,123,165,140,132,62
173,160,127,239,222,222,62
206,199,177,120,109,104,62
129,120,101,147,136,110,62
82,79,63,222,222,206,62
87,82,84,131,115,94,62
165,148,123,239,222,222,62
255,255,255,245,125,127,62
165,140,132,129,120,101,63
112,100,87,120,109,104,63
173,160,127,187,179,149,64
112,100,87,129,120,101,64
82,79,63,82,79,63,64
239,239,222,203,189,203,64
245,125,127,255,255,255,64
165,140,132,156,156,132,65
187,179,149,156,156,132,65
222,222,206,165,148,123,65
82,79,63,156,156,132,65
87,82,84,82,79,63,65
156,140,123,239,222,222,65
131,115,94,87,82,84,65
131,115,94,233,107,108,65
247,152,156,131,115,94,65
120,109,104,222,222,206,66
87,82,84,247,152,156,66
247,152,156,156,140,123,66
194,106,132,239,239,222,66
112,100,87,173,160,127,67
147,136,110,156,156,132,67
173,160,127,247,152,156,67
120,109,104,233,107,108,67
147,136,110,173,160,127,68
156,140,123,222,222,206,68
165,148,123,233,107,108,68
165,148,123,247,152,156,68
173,160,127,233,107,108,69
156,140,123,247,152,156,69
129,120,101,87,82,84,70
165,148,123,87,82,84,70
131,115,94,131,115,94,70
239,222,222,239,222,222,70
239,225,192,99,90,74,71
129,120,101,131,115,94,71
156,140,123,87,82,84,71
165,140,132,173,160,127,71
82,79,63,87,82,84,71
233,107,108,82,79,63,71
156,156,132,147,136,110,72
173,160,127,165,140,132,72
131,115,94,173,160,127,72
222,222,206,87,82,84,72
165,148,123,131,115,94,72
82,79,63,156,140,123,72
99,90,74,187,179,149,73
222,222,206,156,140,123,73
239,222,222,156,140,123,73
173,160,127,131,115,94,74
120,109,104,82,79,63,74
87,82,84,87,82,84,74
131,115,94,129,120,101,74
165,140,132,156,140,123,75
239,239,222,239,225,192,75
233,107,108,165,148,123,75
165,148,123,120,109,104,76
131,115,94,156,140,123,77
222,222,206,120,109,104,77
156,140,123,131,115,94,77
173,82,119,239,222,222,77
233,107,108,173,160,127,77
173,82,119,211,124,143,77
156,156,132,165,140,132,78
87,82,84,165,148,123,79
156,140,123,82,79,63,79
165,148,123,129,120,101,79
99,90,74,147,136,110,79
222,222,206,173,160,127,79
120,109,104,131,115,94,79
255,255,255,173,82,119,79
233,107,108,156,140,123,79
173,160,127,222,222,206,80
87,82,84,129,120,101,80
165,148,123,165,148,123,81
247,152,156,194,106,132,81
255,255,255,182,171,176,82
187,179,149,99,90,74,82
239,222,222,247,152,156,82
99,90,74,173,82,119,82
239,239,222,211,124,143,82
247,152,156,239,222,222,82
156,156,132,82,79,63,83
82,79,63,173,160,127,83
147,136,110,99,90,74,83
82,79,63,120,109,104,83
239,239,222,194,106,132,83
173,82,119,99,90,74,83
194,106,132,173,82,119,83
173,82,119,255,255,255,84
233,107,108,239,222,222,84
120,109,104,87,82,84,85
255,255,255,138,123,133,86
129,120,101,222,222,206,86
156,140,123,173,160,127,86
206,199,177,99,90,74,87
156,156,132,222,222,206,87
211,124,143,173,82,119,87
182,171,176,255,255,255,88
222,222,206,156,156,132,88
173,82,119,194,106,132,89
239,225,192,239,239,222,90
239,222,222,173,82,119,90
99,90,74,112,100,87,91
255,255,255,104,92,102,92
173,160,127,129,120,101,92
156,140,123,233,107,108,94
255,255,255,203,189,203,95
131,115,94,156,156,132,95
165,148,123,156,140,123,95
233,107,108,131,115,94,95
156,156,132,87,82,84,96
173,160,127,87,82,84,96
129,120,101,165,148,123,96
245,125,127,233,107,108,96
87,82,84,156,156,132,97
165,140,132,99,90,74,97
99,90,74,165,140,132,97
120,109,104,156,140,123,97
156,140,123,120,109,104,97
239,222,222,233,107,108,97
138,123,133,255,255,255,98
239,239,222,206,199,177,98
87,82,84,156,140,123,98
129,120,101,156,140,123,98
239,239,222,187,179,149,99
156,140,123,129,120,101,99
165,148,123,156,156,132,100
239,222,222,99,90,74,100
247,152,156,99,90,74,100
131,115,94,120,109,104,101
206,199,177,239,239,222,101
173,160,127,165,148,123,103
99,90,74,247,152,156,103
112,100,87,99,90,74,105
165,148,123,173,160,127,105
156,140,123,165,148,123,105
156,140,123,156,140,123,106
173,160,127,156,140,123,107
99,90,74,222,222,206,109
165,148,123,99,90,74,109
120,109,104,165,148,123,109
173,82,119,239,239,222,109
156,140,123,156,156,132,110
99,90,74,233,107,108,110
104,92,102,255,255,255,111
112,100,87,239,239,222,111
222,222,206,99,90,74,111
99,90,74,239,222,222,111
233,107,108,245,125,127,111
87,82,84,120,109,104,112
165,140,132,239,239,222,112
147,136,110,239,239,222,114
156,156,132,120,109,104,115
156,156,132,165,148,123,116
99,90,74,131,115,94,117
120,109,104,173,160,127,118
247,152,156,173,82,119,118
156,156,132,129,120,101,119
129,120,101,173,160,127,119
131,115,94,99,90,74,119
156,156,132,156,140,123,120
129,120,101,120,109,104,120
120,109,104,156,156,132,121
239,239,222,112,100,87,121
255,255,255,239,225,192,122
239,239,222,173,82,119,122
120,109,104,129,120,101,124
120,109,104,120,109,104,124
239,239,222,147,136,110,125
129,120,101,129,120,101,125
203,189,203,255,255,255,127
173,82,119,173,82,119,127
239,239,222,131,115,94,129
233,107,108,99,90,74,130
233,107,108,247,152,156,130
173,82,119,247,152,156,131
173,160,127,120,109,104,134
247,152,156,255,255,255,134
187,179,149,239,239,222,135
255,255,255,247,152,156,136
239,239,222,82,79,63,136
255,255,255,206,199,177,137
129,120,101,156,156,132,137
239,239,222,239,222,222,137
247,152,156,233,107,108,137
87,82,84,99,90,74,140
82,79,63,239,239,222,140
239,225,192,255,255,255,145
99,90,74,165,148,123,146
156,156,132,173,160,127,147
206,199,177,255,255,255,147
82,79,63,99,90,74,150
156,140,123,99,90,74,152
239,239,222,165,140,132,154
247,152,156,247,152,156,154
239,222,222,239,239,222,156
129,120,101,99,90,74,156
99,90,74,82,79,63,156
99,90,74,87,82,84,157
255,255,255,165,140,132,158
255,255,255,187,179,149,161
173,160,127,156,156,132,161
247,152,156,239,239,222,161
173,160,127,173,160,127,162
239,239,222,222,222,206,163
233,107,108,239,239,222,163
239,222,222,255,255,255,164
255,255,255,147,136,110,166
99,90,74,129,120,101,167
255,255,255,239,222,222,168
165,140,132,255,255,255,168
239,239,222,247,152,156,170
222,222,206,239,239,222,171
233,107,108,255,255,255,171
239,239,222,233,107,108,172
156,156,132,156,156,132,174
99,90,74,156,140,123,174
255,255,255,233,107,108,174
87,82,84,239,239,222,175
255,255,255,82,79,63,176
173,160,127,99,90,74,176
131,115,94,239,239,222,177
255,255,255,131,115,94,178
99,90,74,156,156,132,180
255,255,255,112,100,87,181
120,109,104,99,90,74,182
239,239,222,87,82,84,183
99,90,74,173,160,127,186
99,90,74,120,109,104,187
165,148,123,239,239,222,189
239,239,222,165,148,123,193
131,115,94,255,255,255,195
147,136,110,255,255,255,196
156,156,132,99,90,74,205
82,79,63,255,255,255,207
156,140,123,239,239,222,209
239,239,222,129,120,101,221
239,239,222,156,140,123,222
255,255,255,156,140,123,227
187,179,149,255,255,255,230
129,120,101,239,239,222,230
255,255,255,222,222,206,231
255,255,255,87,82,84,238
120,109,104,239,239,222,238
222,222,206,255,255,255,243
255,255,255,165,148,123,245
239,239,222,120,109,104,249
239,239,222,173,160,127,249
173,160,127,239,239,222,252
112,100,87,255,255,255,282
239,239,222,156,156,132,282
156,156,132,239,239,222,282
165,148,123,255,255,255,293
156,140,123,255,255,255,302
87,82,84,255,255,255,304
255,255,255,120,109,104,321
99,90,74,99,90,74,337
255,255,255,129,120,101,342
233,107,108,233,107,108,344
120,109,104,255,255,255,364
99,90,74,239,239,222,381
239,239,222,99,90,74,381
129,120,101,255,255,255,382
255,255,255,173,160,127,406
255,255,255,156,156,132,437
156,156,132,255,255,255,531
255,255,255,99,90,74,551
239,239,222,239,239,222,562
173,160,127,255,255,255,563
255,255,255,239,239,222,614
99,90,74,255,255,255,673
239,239,222,255,255,255,752
255,255,255,255,255,255,19252
