R1,G1,B1,R2,G2,B2,Count,Norm,Norm_with_weight
122,125,26,82,79,63,1,41.103630578426994,0.11853633020917406
26,58,125,245,125,127,1,69.426241733354,5.539800590485366e-13
122,125,26,156,140,123,1,41.52345977671006,9.255768114653229
138,123,133,122,125,26,1,56.724097413032595,49.08219913050954
129,120,101,122,125,26,1,40.01560504177535,39.987410812736805
203,189,203,122,125,26,1,58.449034888195726,1.4662894656711713e-05
245,125,127,163,152,177,1,48.919168992633736,46.080387389570426
239,177,189,182,171,176,1,19.8373626646901,7.155662927085993
245,125,127,26,58,125,1,69.426241733354,5.539800590485366e-13
255,255,255,122,125,26,1,51.147485634484156,2.9241404770786355e-20
239,222,222,122,125,26,1,51.017409962588204,2.115055990570159e-12
187,179,149,122,125,26,1,34.863538698879886,0.001627433148178052
99,90,74,122,125,26,1,41.28403934436987,2.441089996091004
165,148,123,122,125,26,1,37.268471694774554,2.49092257104723
82,79,63,122,125,26,1,41.103630578426994,0.11853633020917406
122,125,26,165,148,123,1,37.268471694774554,2.49092257104723
122,125,26,147,136,110,1,36.34905998788534,15.742503420965996
122,125,26,255,255,255,1,51.147485634484156,2.9241404770786355e-20
122,125,26,222,222,206,1,42.851940740039566,2.491229582949889e-11
122,125,26,87,82,84,1,52.260821298056875,0.5322296928164734
122,125,26,239,239,222,1,42.455480037176116,1.581057997727806e-15
122,125,26,163,152,177,2,64.8450743694528,1.3221916215262364
122,125,26,131,115,94,2,38.941880656477494,37.87738111515551
122,125,26,99,90,74,2,41.28403934436987,2.441089996091004
203,189,203,163,152,177,2,6.451361971776538,0.15829440280498847
122,125,26,173,160,127,2,33.00328658635627,0.24841827039307715
156,156,132,122,125,26,2,37.876505233045954,1.1510549225931646
122,125,26,129,120,101,2,40.01560504177535,39.987410812736805
222,222,206,122,125,26,2,42.851940740039566,2.491229582949889e-11
26,58,125,211,124,143,2,50.76121397844962,3.1025337929228774e-10
120,109,104,122,125,26,2,48.03504176417074,36.726181141569846
138,123,133,104,92,102,2,0.9980863138308745,0.03898419538380884
206,199,177,138,123,133,2,17.62793903946288,7.995042947573241e-06
104,92,102,138,123,133,2,0.9980863138308745,0.03898419538380884
104,92,102,122,125,26,2,57.0019301049903,7.581408745257529
194,106,132,163,152,177,2,31.79508083823009,6.363481673617014
138,123,133,163,152,177,2,8.304814888309803,0.657355485514841
245,125,127,211,124,143,2,18.763805979776574,12.836894750470382
163,152,177,104,92,102,2,7.875854007545101,7.861317776326681e-05
239,239,222,122,125,26,2,42.455480037176116,1.581057997727806e-15
112,100,87,122,125,26,2,43.25274819870211,14.413836999986328
122,125,26,206,199,177,2,39.38105395240453,8.439231957121525e-07
122,125,26,165,140,132,2,46.81830754942373,7.070133476025439
182,171,176,182,171,176,3,0.0,0.0
203,189,203,182,171,176,3,4.854705093957376,1.7712348031805027
163,152,177,163,152,177,3,0.0,0.0
173,82,119,245,125,127,3,24.07519317049072,0.018694936384066038
239,177,189,26,58,125,3,45.32494490823153,9.458544443888414e-23
163,152,177,239,177,189,3,21.029800727224202,0.5048647543755679
194,106,132,26,58,125,3,48.90403337954027,1.2139559956376787e-06
245,125,127,182,171,176,3,46.43259893358149,29.365942947164147
239,177,189,203,189,203,3,18.663749499725846,18.663152345142443
211,124,143,138,123,133,3,29.42885855245978,6.627232164321256
182,171,176,163,152,177,3,11.147774606697826,4.769746006137008
104,92,102,239,177,189,3,18.71120114972452,9.113391389693683e-12
245,125,127,173,82,119,3,24.07519317049072,0.018694936384066038
163,152,177,138,123,133,3,8.304814888309803,0.657355485514841
182,171,176,239,225,192,3,19.7522211778896,0.016185957119821747
104,92,102,245,125,127,3,46.08884654770449,8.244731181073808e-05
239,177,189,138,123,133,3,17.75571651142952,7.190209964771463e-05
239,177,189,163,152,177,3,21.029800727224202,0.5048647543755679
156,140,123,122,125,26,4,41.52345977671006,9.255768114653229
26,58,125,194,106,132,4,48.90403337954027,1.2139559956376787e-06
182,171,176,104,92,102,4,3.4197488915380143,2.8105814659739445e-08
163,152,177,182,171,176,4,11.147774606697826,4.769746006137008
211,124,143,182,171,176,4,31.655110685199613,5.947946351987294
194,106,132,138,123,133,4,30.693552150921185,27.630564153910793
239,177,189,104,92,102,4,18.71120114972452,9.113391389693683e-12
245,125,127,194,106,132,4,20.600416243786903,2.0887317788840636
163,152,177,211,124,143,4,31.473186703339497,27.41349834205194
163,152,177,245,125,127,4,48.919168992633736,46.080387389570426
138,123,133,211,124,143,4,29.42885855245978,6.627232164321256
173,160,127,122,125,26,5,33.00328658635627,0.24841827039307715
138,123,133,173,82,119,5,33.69997509816155,16.673759352113198
182,171,176,206,199,177,5,14.403440725072972,2.60405106943742
26,58,125,239,177,189,5,45.32494490823153,9.458544443888414e-23
206,199,177,163,152,177,5,25.53685833034604,0.17742039174578506
211,124,143,26,58,125,5,50.76121397844962,3.1025337929228774e-10
182,171,176,203,189,203,5,4.854705093957376,1.7712348031805027
239,177,189,112,100,87,5,22.724050093721072,5.066658007461549e-10
112,100,87,245,125,127,5,44.97122357357603,0.0010497234017118697
104,92,102,182,171,176,6,3.4197488915380143,2.8105814659739445e-08
104,92,102,104,92,102,6,0.0,0.0
104,92,102,163,152,177,6,7.875854007545101,7.861317776326681e-05
163,152,177,206,199,177,6,25.53685833034604,0.17742039174578506
104,92,102,239,225,192,6,22.997094492022807,1.5814119428587402e-20
163,152,177,239,222,222,6,13.974152782988005,3.8485285904818146e-05
239,225,192,138,123,133,6,22.69161997250523,5.050841052813584e-11
182,171,176,245,125,127,6,46.43259893358149,29.365942947164147
203,189,203,211,124,143,6,30.160158080013357,0.15408055280508393
247,152,156,26,58,125,6,58.70791660377161,6.540696184636343e-18
138,123,133,182,171,176,6,3.52876935103689,0.0063509699522209615
194,106,132,104,92,102,6,31.573301483182984,0.34533497243309075
245,125,127,203,189,203,6,46.2779974285321,2.742534050637738
138,123,133,239,177,189,6,17.75571651142952,7.190209964771463e-05
206,199,177,239,177,189,6,27.136573701601762,24.830071439088762
163,152,177,173,82,119,6,33.45937116595612,0.09057481181170758
245,125,127,239,177,189,6,27.919157764585417,1.6233300066591103
173,82,119,182,171,176,6,36.53723016916709,0.00047933750349342104
122,125,26,156,156,132,6,37.876505233045954,1.1510549225931646
203,189,203,138,123,133,7,1.92803280962686,8.124876028809854e-06
182,171,176,138,123,133,7,3.52876935103689,0.0063509699522209615
138,123,133,194,106,132,7,30.693552150921185,27.630564153910793
138,123,133,138,123,133,7,0.0,0.0
165,140,132,163,152,177,7,19.31699209074506,13.508062712659735
187,179,149,194,106,132,7,42.79683480763134,0.10414896352991249
147,136,110,239,177,189,7,27.60238830344338,0.0036298540185811653
182,171,176,165,140,132,7,9.488314643363918,0.942986014658792
104,92,102,206,199,177,7,17.77897534798119,3.3154065882802737e-13
104,92,102,187,179,149,7,22.189261751958323,1.7509253373740694e-08
233,107,108,26,58,125,7,73.44478716064192,2.292138019656827e-09
194,106,132,203,189,203,7,31.2168966501411,0.001159408758822768
245,125,127,104,92,102,7,46.08884654770449,8.244731181073808e-05
182,171,176,239,177,189,7,19.8373626646901,7.155662927085993
211,124,143,163,152,177,7,31.473186703339497,27.41349834205194
239,225,192,239,177,189,7,28.966991790170137,1.865494543988426
173,82,119,138,123,133,7,33.69997509816155,16.673759352113198
138,123,133,165,140,132,8,11.104204904024888,4.129916801871747
163,152,177,147,136,110,8,28.51230044092918,9.304468767766998
112,100,87,138,123,133,8,13.472931069892503,1.749949973113593
147,136,110,104,92,102,8,20.65612282882562,0.08849933744260348
187,179,149,182,171,176,8,18.852021682210573,17.587495315876772
163,152,177,239,225,192,8,30.86375470774179,7.957411726494018e-05
239,222,222,104,92,102,8,6.114931086181404,4.7812586815304444e-21
112,100,87,163,152,177,8,21.631226803306852,0.002348656235672267
182,171,176,194,106,132,8,33.2021637309816,0.2746225046412025
138,123,133,147,136,110,8,20.378960680239555,15.316791697718845
104,92,102,211,124,143,8,30.356052120216575,0.0032868731627381294
203,189,203,245,125,127,8,46.2779974285321,2.742534050637738
163,152,177,194,106,132,8,31.79508083823009,6.363481673617014
211,124,143,147,136,110,8,37.86587201853823,23.632468793307133
163,152,177,112,100,87,8,21.631226803306852,0.002348656235672267
173,82,119,26,58,125,8,46.75435724213326,0.005066528612041709
206,199,177,245,125,127,8,48.03972594438762,0.935182773705502
194,106,132,147,136,110,8,40.70240498769143,38.944236240508026
206,199,177,211,124,143,8,38.01257239970277,0.043876861776739114
173,82,119,163,152,177,8,33.45937116595612,0.09057481181170758
239,177,189,206,199,177,8,27.136573701601762,24.830071439088762
194,106,132,245,125,127,8,20.600416243786903,2.0887317788840636
187,179,149,163,152,177,8,29.9995994724339,7.368669465349688
163,152,177,187,179,149,8,29.9995994724339,7.368669465349688
187,179,149,138,123,133,9,21.975792987331474,0.00980902256791939
104,92,102,203,189,203,9,1.4512540581997222,7.507029468891675e-13
203,189,203,104,92,102,9,1.4512540581997222,7.507029468891675e-13
163,152,177,165,140,132,9,19.31699209074506,13.508062712659735
138,123,133,206,199,177,9,17.62793903946288,7.995042947573241e-06
239,225,192,203,189,203,9,24.43887585851895,1.5446186390202763
147,136,110,182,171,176,9,17.38390769559262,0.3453128244644093
182,171,176,247,152,156,9,34.28450595124277,32.492134601900524
182,171,176,211,124,143,9,31.655110685199613,5.947946351987294
104,92,102,194,106,132,9,31.573301483182984,0.34533497243309075
87,82,84,245,125,127,9,48.25556512724667,2.6963418491903223e-07
138,123,133,239,225,192,9,22.69161997250523,5.050841052813584e-11
245,125,127,206,199,177,9,48.03972594438762,0.935182773705502
187,179,149,239,177,189,9,29.701656002819767,17.01784936257892
203,189,203,239,225,192,9,24.43887585851895,1.5446186390202763
182,171,176,173,82,119,9,36.53723016916709,0.00047933750349342104
211,124,143,245,125,127,9,18.763805979776574,12.836894750470382
104,92,102,233,107,108,9,50.12589276021611,0.014157848453690084
26,58,125,233,107,108,9,73.44478716064192,2.292138019656827e-09
112,100,87,182,171,176,10,10.539164559548853,1.8703483267506756e-06
187,179,149,203,189,203,10,23.64013489361043,13.65924472806011
239,222,222,182,171,176,10,3.383480498135671,0.0029118238029503586
182,171,176,239,222,222,10,3.383480498135671,0.0029118238029503586
222,222,206,182,171,176,10,11.786921514149977,0.03480765522267292
203,189,203,187,179,149,10,23.64013489361043,13.65924472806011
147,136,110,138,123,133,10,20.378960680239555,15.316791697718845
138,123,133,203,189,203,10,1.92803280962686,8.124876028809854e-06
165,140,132,182,171,176,10,9.488314643363918,0.942986014658792
131,115,94,138,123,133,10,17.92407105644238,13.290733283725213
138,123,133,239,222,222,10,5.717177688054092,1.3997811149837585e-11
104,92,102,82,79,63,10,16.33487162357002,6.032753909792433
239,225,192,112,100,87,10,9.233512306251878,9.968122779193894e-19
104,92,102,173,82,119,10,34.49867981081793,13.676362078060553
131,115,94,182,171,176,10,15.21409458713678,0.0012983744388133153
211,124,143,187,179,149,10,39.94743422872172,3.542625485613213
245,125,127,138,123,133,10,45.09573559751117,1.543186181965075
104,92,102,131,115,94,10,18.315792813594726,3.802220061426323
239,177,189,187,179,149,10,29.701656002819767,17.01784936257892
211,124,143,104,92,102,10,30.356052120216575,0.0032868731627381294
247,152,156,182,171,176,10,34.28450595124277,32.492134601900524
211,124,143,206,199,177,10,38.01257239970277,0.043876861776739114
104,92,102,165,140,132,11,11.769198883649777,0.004757598351767222
206,199,177,104,92,102,11,17.77897534798119,3.3154065882802737e-13
26,58,125,247,152,156,11,58.70791660377161,6.540696184636343e-18
163,152,177,203,189,203,11,6.451361971776538,0.15829440280498847
203,189,203,203,189,203,11,0.0,0.0
203,189,203,165,140,132,11,13.03033374922239,0.022343439723895867
239,225,192,182,171,176,11,19.7522211778896,0.016185957119821747
163,152,177,233,107,108,11,53.06579901728856,39.87157158157537
147,136,110,163,152,177,11,28.51230044092918,9.304468767766998
165,148,123,182,171,176,11,16.884566429101316,3.5432725789571338
147,136,110,245,125,127,11,46.49325482900561,8.518201586670568
247,152,156,163,152,177,11,36.65483537473876,9.697731383277794
147,136,110,211,124,143,11,37.86587201853823,23.632468793307133
247,152,156,104,92,102,11,33.808680488528275,3.5651470672452486e-08
245,125,127,147,136,110,11,46.49325482900561,8.518201586670568
239,177,189,147,136,110,11,27.60238830344338,0.0036298540185811653
239,177,189,173,160,127,11,29.646110678456377,1.6872336318955827
104,92,102,247,152,156,11,33.808680488528275,3.5651470672452486e-08
211,124,143,112,100,87,11,33.86066787566867,0.030246393735670375
239,225,192,194,106,132,11,41.791009089590446,2.4083616387659586e-09
211,124,143,203,189,203,11,30.160158080013357,0.15408055280508393
165,140,132,138,123,133,12,11.104204904024888,4.129916801871747
203,189,203,112,100,87,12,15.205969716734993,3.585652681709206e-10
87,82,84,182,171,176,12,2.4930202509878554,2.4102543457231425e-11
165,148,123,163,152,177,12,27.873420853292217,25.02779215914961
187,179,149,104,92,102,12,22.189261751958323,1.7509253373740694e-08
156,156,132,239,177,189,12,30.194906408953397,0.4801404785526319
182,171,176,187,179,149,12,18.852021682210573,17.587495315876772
182,171,176,233,107,108,12,50.38601802173026,6.047416146747304
112,100,87,211,124,143,12,33.86066787566867,0.030246393735670375
131,115,94,163,152,177,12,26.1870745809861,0.2692551589532579
239,177,189,156,156,132,12,30.194906408953397,0.4801404785526319
239,177,189,245,125,127,12,27.919157764585417,1.6233300066591103
233,107,108,182,171,176,12,50.38601802173026,6.047416146747304
233,107,108,104,92,102,12,50.12589276021611,0.014157848453690084
233,107,108,163,152,177,12,53.06579901728856,39.87157158157537
163,152,177,247,152,156,12,36.65483537473876,9.697731383277794
203,189,203,194,106,132,12,31.2168966501411,0.001159408758822768
147,136,110,194,106,132,12,40.70240498769143,38.944236240508026
222,222,206,163,152,177,12,22.620812812676864,0.00033463403257204033
187,179,149,245,125,127,12,48.30771291906088,19.95097611733896
211,124,143,222,222,206,12,38.92264192790271,4.205778473501004e-05
203,189,203,239,222,222,13,7.5228887797870305,0.4902017537332401
104,92,102,222,222,206,13,15.197144524823274,3.324804848042743e-19
182,171,176,222,222,206,13,11.786921514149977,0.03480765522267292
203,189,203,206,199,177,13,19.22944479277782,17.535231062169608
206,199,177,187,179,149,13,4.557465520818561,1.5313610673282176
163,152,177,87,82,84,13,12.827702799092561,5.691040491143937e-07
255,255,255,163,152,177,13,14.562148591417776,1.6415973572800955e-10
156,156,132,245,125,127,13,50.8748583126113,45.06063946592786
222,222,206,138,123,133,13,15.260490087283156,4.354486028335576e-10
138,123,133,245,125,127,13,45.09573559751117,1.543186181965075
222,222,206,239,177,189,13,27.52994303570717,3.837793764472748
165,140,132,239,177,189,13,16.936889099869934,0.028223795748349195
194,106,132,182,171,176,13,33.2021637309816,0.2746225046412025
163,152,177,82,79,63,13,23.982606509111054,1.0111820682196137e-07
239,177,189,239,225,192,13,28.966991790170137,1.865494543988426
203,189,203,233,107,108,13,50.34432124926673,0.11841170242279363
245,125,127,112,100,87,13,44.97122357357603,0.0010497234017118697
187,179,149,211,124,143,13,39.94743422872172,3.542625485613213
138,123,133,247,152,156,13,32.81857025130972,0.01745915247750009
165,140,132,203,189,203,13,13.03033374922239,0.022343439723895867
239,177,189,222,222,206,13,27.52994303570717,3.837793764472748
129,120,101,211,124,143,13,36.6065725042683,3.065297652138968
239,177,189,239,177,189,13,0.0,0.0
211,124,143,131,115,94,13,34.57310553161282,1.518545653494652
82,79,63,239,177,189,13,27.073953765385447,1.1796426084976468e-16
104,92,102,147,136,110,14,20.65612282882562,0.08849933744260348
138,123,133,112,100,87,14,13.472931069892503,1.749949973113593
206,199,177,182,171,176,14,14.403440725072972,2.60405106943742
203,189,203,147,136,110,14,22.101794648523324,0.003006377629819283
239,225,192,104,92,102,14,22.997094492022807,1.5814119428587402e-20
147,136,110,203,189,203,14,22.101794648523324,0.003006377629819283
165,140,132,104,92,102,14,11.769198883649777,0.004757598351767222
163,152,177,173,160,127,14,31.92007914910062,30.159822376356235
138,123,133,222,222,206,14,15.260490087283156,4.354486028335576e-10
163,152,177,120,109,104,14,16.81302060885704,0.03392965613868331
138,123,133,187,179,149,14,21.975792987331474,0.00980902256791939
26,58,125,173,82,119,14,46.75435724213326,0.005066528612041709
239,222,222,138,123,133,14,5.717177688054092,1.3997811149837585e-11
163,152,177,222,222,206,14,22.620812812676864,0.00033463403257204033
112,100,87,239,177,189,14,22.724050093721072,5.066658007461549e-10
239,177,189,82,79,63,14,27.073953765385447,1.1796426084976468e-16
82,79,63,104,92,102,14,16.33487162357002,6.032753909792433
239,177,189,165,140,132,14,16.936889099869934,0.028223795748349195
211,124,143,156,156,132,14,41.085379730412235,38.242967900249496
165,140,132,194,106,132,14,30.532316245448225,19.48236206416124
194,106,132,206,199,177,14,40.61700494715008,0.00019769744791794795
239,177,189,129,120,101,14,25.75862565528529,7.601869056693062e-06
173,82,119,206,199,177,14,45.221338974145,1.6663162329531336e-08
211,124,143,165,148,123,14,35.51541294939703,35.44838904845441
163,152,177,99,90,74,15,23.561084719917545,3.7281275074909124e-05
104,92,102,112,100,87,15,13.763614776328884,11.984184629218769
182,171,176,112,100,87,15,10.539164559548853,1.8703483267506756e-06
104,92,102,239,222,222,15,6.114931086181404,4.7812586815304444e-21
87,82,84,104,92,102,15,5.597498033946802,3.326609375941849
173,160,127,245,125,127,15,46.60199916047574,46.600129481125435
182,171,176,147,136,110,15,17.38390769559262,0.3453128244644093
82,79,63,211,124,143,15,38.22431108965673,3.6708463492139533e-06
165,148,123,239,177,189,15,25.451369098670877,0.15446740039715312
245,125,127,129,120,101,15,46.70273935829498,0.38425106463866715
173,82,119,203,189,203,15,33.932175360027,1.9336791279731975e-07
245,125,127,87,82,84,15,48.25556512724667,2.6963418491903223e-07
163,152,177,131,115,94,15,26.1870745809861,0.2692551589532579
182,171,176,173,160,127,16,20.815024871888124,13.051380533902842
104,92,102,87,82,84,16,5.597498033946802,3.326609375941849
222,222,206,194,106,132,16,41.238478949721575,2.5866154709960478e-08
82,79,63,138,123,133,16,16.271168530825843,0.006448901710763676
131,115,94,104,92,102,16,18.315792813594726,3.802220061426323
165,140,132,245,125,127,16,39.94286331428893,19.638758907134573
239,222,222,163,152,177,16,13.974152782988005,3.8485285904818146e-05
112,100,87,194,106,132,16,36.3264582587555,1.6817994957192717
182,171,176,82,79,63,16,12.922755272170624,7.131023177284327e-12
82,79,63,203,189,203,16,17.776613579432084,8.319508971715865e-17
222,222,206,245,125,127,16,50.36005759590602,0.0035844360208224127
206,199,177,194,106,132,16,40.61700494715008,0.00019769744791794795
173,82,119,104,92,102,16,34.49867981081793,13.676362078060553
138,123,133,131,115,94,16,17.92407105644238,13.290733283725213
211,124,143,165,140,132,16,28.098230820184707,26.693560953234048
206,199,177,173,82,119,16,45.221338974145,1.6663162329531336e-08
194,106,132,187,179,149,16,42.79683480763134,0.10414896352991249
194,106,132,239,225,192,16,41.791009089590446,2.4083616387659586e-09
239,225,192,211,124,143,16,38.832269599179554,6.062213963551128e-06
82,79,63,163,152,177,16,23.982606509111054,1.0111820682196137e-07
239,177,189,131,115,94,16,24.24513568795286,1.5427796559596687e-06
206,199,177,203,189,203,17,19.22944479277782,17.535231062169608
163,152,177,156,156,132,17,27.49007855089902,27.195117610893096
182,171,176,120,109,104,17,5.687793746775566,4.983596328142657e-05
163,152,177,165,148,123,17,27.873420853292217,25.02779215914961
156,156,132,163,152,177,17,27.49007855089902,27.195117610893096
165,148,123,104,92,102,17,20.000999193283427,0.00166225095990927
87,82,84,163,152,177,17,12.827702799092561,5.691040491143937e-07
239,225,192,239,225,192,17,0.0,0.0
165,148,123,194,106,132,17,38.40399099036519,15.866018363495415
222,222,206,211,124,143,17,38.92264192790271,4.205778473501004e-05
129,120,101,194,106,132,17,39.21961031890704,24.76359864273018
129,120,101,239,177,189,17,25.75862565528529,7.601869056693062e-06
129,120,101,245,125,127,17,46.70273935829498,0.38425106463866715
239,222,222,245,125,127,17,44.1440497642776,0.000658808950558896
247,152,156,138,123,133,17,32.81857025130972,0.01745915247750009
245,125,127,120,109,104,17,45.53863764486073,0.025603943974824527
194,106,132,131,115,94,17,37.375427043437995,17.499422197443362
245,125,127,156,156,132,17,50.8748583126113,45.06063946592786
211,124,143,120,109,104,17,32.62900358512939,0.365300936493822
211,124,143,233,107,108,17,22.871697586961808,22.271668433990907
239,225,192,245,125,127,17,46.514894965853884,0.0006528121103050453
245,125,127,187,179,149,17,48.30771291906088,19.95097611733896
182,171,176,129,120,101,18,13.684954853004275,0.0036678471156525957
87,82,84,138,123,133,18,5.917755939706441,0.010223378724675195
104,92,102,165,148,123,18,20.000999193283427,0.00166225095990927
112,100,87,187,179,149,18,8.580308151614833,1.778689391944827e-07
138,123,133,255,255,255,18,8.31258340257522,8.411800599281172e-19
156,140,123,163,152,177,18,23.518718671227695,13.444038579731599
112,100,87,104,92,102,18,13.763614776328884,11.984184629218769
239,225,192,222,222,206,18,10.309000652395401,9.67279858810819
104,92,102,173,160,127,18,24.05081983922057,4.50513280985019e-05
182,171,176,131,115,94,18,15.21409458713678,0.0012983744388133153
206,199,177,239,225,192,18,6.0551480003682014,0.9575355331325325
173,160,127,239,177,189,18,29.646110678456377,1.6872336318955827
131,115,94,211,124,143,18,34.57310553161282,1.518545653494652
120,109,104,245,125,127,18,45.53863764486073,0.025603943974824527
245,125,127,222,222,206,18,50.36005759590602,0.0035844360208224127
239,177,189,120,109,104,18,20.97375440212919,6.735806188243273e-08
245,125,127,165,140,132,18,39.94286331428893,19.638758907134573
239,177,189,165,148,123,18,25.451369098670877,0.15446740039715312
211,124,143,82,79,63,18,38.22431108965673,3.6708463492139533e-06
211,124,143,87,82,84,18,33.90076573221732,2.7889257253060498e-05
233,107,108,138,123,133,18,49.1308340057196,16.042974934810918
211,124,143,239,225,192,18,38.832269599179554,6.062213963551128e-06
87,82,84,239,177,189,18,22.070383205331648,2.945942729912358e-15
156,156,132,182,171,176,19,16.494429715422008,5.765497086764033
173,160,127,163,152,177,19,31.92007914910062,30.159822376356235
165,140,132,239,225,192,19,13.237472063509056,3.2678118518237406e-07
104,92,102,156,140,123,19,15.644795730390975,0.014284814475544293
239,225,192,206,199,177,19,6.0551480003682014,0.9575355331325325
239,225,192,147,136,110,19,2.414326171616784,1.02448636183409e-09
138,123,133,87,82,84,19,5.917755939706441,0.010223378724675195
182,171,176,255,255,255,19,4.977240009424913,2.5033007663841207e-07
165,148,123,138,123,133,19,19.61276439443594,3.964462715109812
138,123,133,233,107,108,19,49.1308340057196,16.042974934810918
156,156,132,211,124,143,19,41.085379730412235,38.242967900249496
187,179,149,173,82,119,19,47.68884525098107,9.972365783498254e-05
173,160,127,211,124,143,19,39.33530108625828,27.12025968436542
239,177,189,211,124,143,19,11.830507669864561,0.058886740644292536
173,82,119,112,100,87,19,40.79026418814986,28.80505688439152
239,177,189,156,140,123,19,22.787256282961486,0.017407356498531184
182,171,176,87,82,84,20,2.4930202509878554,2.4102543457231425e-11
187,179,149,147,136,110,20,2.101017850369189,0.013717109837811707
156,156,132,104,92,102,20,19.912670961413763,0.0003978987522858193
182,171,176,165,148,123,20,16.884566429101316,3.5432725789571338
138,123,133,156,140,123,20,15.269792235278938,7.4801849726496
163,152,177,255,255,255,20,14.562148591417776,1.6415973572800955e-10
